date,text,year,month,day
2021-07-08 19:39:51,"Πηγές υπ. Ναυτιλίας: Ανυπόστατα τα περί επιβίβασης κρουσμάτων Covid σε πλοίο από την Ίο #kathimerini #καθημερινη #κορωνοιος 
 ",2021,7,8
2021-07-07 11:23:23,"Γλυφάδα: Αύξηση των θετικών τεστ Covid κατά 8,49% #kathimerini #καθημερινη #κορωνοιος 
 ",2021,7,7
2021-07-06 07:39:53,"Κορωνοϊός: Ισραήλ και Νότια Κορέα συμφώνησαν για ανταλλαγή εμβολίων Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,7,6
2021-07-05 09:42:37,"Σε αυτοαπομόνωση η Κέιτ Μίντλετον μετά από επαφή με κρούσμα Covid #kathimerini #καθημερινη #κορωνοιος 
 ",2021,7,5
2021-07-05 05:52:23,"Μπάιντεν: Ο κορωνοϊός δεν έχει ακόμη νικηθεί #kathimerini #καθημερινη #κορωνοιος
 ",2021,7,5
2021-07-05 05:17:07,"Νέα δεδομένα ισχύουν από σήμερα σε όλη τη χώρα στο πλαίσιο μέτρων προστασίας από την Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,7,5
2021-07-04 10:00:40,"Θοδωρής Γεωργακόπουλος: Πώς μιλάμε για την COVID #kathimerini #καθημερινη
 ",2021,7,4
2021-06-29 10:06:32,"Τόκιο 2020: Ο κορωνοϊός «κρύβει» την Ολυμπιακή Φλόγα
#καθημερινη #kathimerini #tokyo2020
 ",2021,6,29
2021-06-28 10:37:13,"Βρετανία – Κορωνοϊός: Ο νέος υπ. Υγείας θέλει να αρθούν το συντομότερο οι περιορισμοί #kathimerini #καθημερινη #κορωνοιος 
 ",2021,6,28
2021-06-25 17:47:28,"Βρετανία: Μόνο 28 κρούσματα Covid στους 58.000 συμμετέχοντες σε πιλοτικές εκδηλώσεις #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,25
2021-06-25 17:32:40,"ΠΟΥ: Προς έγκριση δύο ακόμη εμβολίων Covid εντός του καλοκαιριού #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,25
2021-06-23 13:19:51,"Τουρισμός: Η Ryanair βλέπει ταχεία αύξηση στα ταξίδια παρά τους περιορισμούς Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,23
2021-06-22 21:09:32,"ΗΠΑ: Οι λόγοι που οι νεότεροι ενήλικες είναι λιγότερο πιθανό να εμβολιαστούν κατά της Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,22
2021-06-22 18:44:33,"Η αύξηση του αριθμού των ασθενών με Covid που καταγράφηκε, αποδίδεται στην παραλλαγή «Δέλτα» #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,22
2021-06-22 13:40:50,"Σουηδία: Τα εμβόλια Covid θα είναι διαθέσιμα για όλους από 16 ετών και άνω #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,22
2021-06-16 12:12:45,"Ιταλικά ΜΜΕ: Προς παράταση της κατάστασης έκτακτης ανάγκης λόγω Covid στην Ιταλία #kathimerini #καθημερινη #κορωνοιος 
 ",2021,6,16
